user_id,game_id,rating
151603712,72850,5
59945701,72850,2
92107940,72850,4
250006052,72850,5
11373749,72850,5
54103616,72850,2
56038151,72850,1
94088853,72850,5
116085629,72850,3
148510973,72850,3
9823354,72850,5
100519466,72850,1
180789959,72850,1
168031436,72850,1
41883322,72850,4
170491009,72850,2
190231757,72850,1
65716118,72850,1
98152188,72850,5
162649407,72850,5
128790593,72850,2
130201800,72850,5
71082079,72850,2
25096601,72850,3
42061089,72850,1
60760816,72850,4
72842694,72850,5
20200395,72850,4
4834220,72850,2
65229865,72850,2
65958466,72850,3
77905942,72850,4
198249024,72850,5
68224834,72850,1
34177747,72850,1
44866715,72850,1
142001340,72850,2
104055167,72850,5
117531196,72850,1
64787956,72850,1
44482198,72850,2
167202599,72850,4
159129006,72850,1
156799348,72850,1
68316900,72850,4
147602462,72850,4
52907921,72850,1
12610800,72850,3
78341587,72850,1
96014467,72850,5
215160630,72850,2
131940023,72850,3
136495026,72850,2
24366790,72850,5
89732768,72850,3
87907200,72850,2
110489310,72850,3
107377573,72850,2
115037563,72850,1
70970228,72850,2
306690580,72850,1
191747590,72850,2
56333620,72850,5
92393218,72850,5
85759872,72850,1
72488020,72850,1
205343727,72850,4
106147454,72850,4
57974873,72850,5
100478352,72850,2
233277671,72850,1
71603645,72850,1
84455820,72850,4
141873792,72850,2
37827989,72850,5
96674526,72850,1
13565651,72850,5
92322563,72850,2
158476996,72850,3
101690993,72850,5
53898495,72850,2
136135322,72850,1
69009454,72850,1
67492611,72850,5
45974860,72850,2
85366890,72850,5
80779496,72850,1
24011187,72850,1
24469287,72850,1
39622853,72850,1
116617462,72850,1
11403772,72850,2
111754806,72850,4
27171538,72850,3
94819329,72850,5
119170251,72850,2
99077905,72850,1
116325720,72850,4
9128105,72850,4
127325079,72850,1
152585209,72850,1
258213980,72850,1
118693973,72850,5
149790632,72850,2
59790700,72850,5
96095486,72850,4
66052983,72850,5
93669877,72850,1
164511211,72850,5
59115473,72850,1
225829163,72850,3
104543500,72850,5
103690917,72850,1
287848624,72850,1
71390526,72850,5
58907890,72850,5
111130695,72850,1
181453879,72850,1
138960345,72850,1
120420435,72850,5
72907554,72850,5
83234559,72850,1
98624963,72850,5
122679931,72850,2
110906645,72850,4
30440303,72850,1
298950,72850,5
62878249,72850,3
50801801,72850,3
179772319,72850,1
96282673,72850,1
119211545,72850,1
104408704,72850,5
54293428,72850,4
92025878,72850,5
99723205,72850,1
136866564,72850,2
105384518,72850,5
36546868,72850,1
95325409,72850,1
115958331,72850,2
23717586,72850,5
172470005,72850,1
73835640,72850,4
75232211,72850,5
46637811,72850,5
124878949,72850,2
171067153,72850,1
60859324,72850,1
26729643,72850,4
37490443,72850,5
104727643,72850,5
66615366,72850,5
6717871,72850,1
26465134,72850,5
2083767,72850,2
67694595,72850,5
38049880,72850,5
49893565,72850,4
45120292,72850,3
92639430,72850,5
151234988,72850,2
137837203,72850,1
103260848,72850,5
29239329,72850,5
157899431,72850,4
150789931,72850,5
33013552,72850,1
43684632,72850,5
48984158,72850,5
197328486,72850,1
152497084,72850,1
106066141,72850,1
94269421,72850,5
122798021,72850,2
33706322,72850,1
100057229,72850,1
95531306,72850,5
102552233,72850,3
209626174,72850,2
63965791,72850,1
154730370,72850,3
278678644,72850,2
131023125,72850,5
145243748,72850,5
92663477,72850,2
21061921,72850,3
86055705,72850,1
58057627,72850,1
3449240,72850,1
66255019,72850,5
39037163,72850,1
55426012,72850,1
45774794,72850,1
62633395,72850,2
108007732,72850,2
28648610,72850,1
145320311,72850,2
54568397,72850,2
80128229,72850,5
157080495,72850,1
70408902,72850,1
37422528,72850,1
155718820,72850,2
182557942,72850,5
55906572,72850,1
84925352,72850,1
11813637,72850,3
101687527,72850,3
54826284,72850,3
61506388,72850,3
64973908,72850,3
80189887,72850,5
191126693,72850,3
118695833,72850,2
138941587,72850,5
45411694,72850,5
167093760,72850,1
